population,candidate_name,end_date,da_by_pop
a,Donald Trump,2022-01-27,
a,Donald Trump,2022-01-28,
a,Donald Trump,2022-01-29,
a,Donald Trump,2022-01-30,
a,Donald Trump,2022-01-31,
a,Donald Trump,2022-02-01,
a,Donald Trump,2022-02-02,
a,Donald Trump,2022-02-03,
a,Donald Trump,2022-02-04,
a,Donald Trump,2022-02-05,
a,Donald Trump,2022-02-06,
a,Donald Trump,2022-02-07,
a,Donald Trump,2022-02-08,
a,Donald Trump,2022-02-09,
a,Donald Trump,2022-02-10,
a,Donald Trump,2022-02-11,
a,Donald Trump,2022-02-12,
a,Donald Trump,2022-02-13,
a,Donald Trump,2022-02-14,
a,Donald Trump,2022-02-15,
a,Donald Trump,2022-02-16,
a,Donald Trump,2022-02-17,
a,Donald Trump,2022-02-18,
a,Donald Trump,2022-02-19,
a,Donald Trump,2022-02-20,
a,Donald Trump,2022-02-21,
a,Donald Trump,2022-02-22,
a,Donald Trump,2022-02-23,
a,Donald Trump,2022-02-24,
a,Donald Trump,2022-02-25,
a,Donald Trump,2022-02-26,
a,Donald Trump,2022-02-27,39.0
a,Donald Trump,2022-02-28,
a,Donald Trump,2022-03-01,
a,Donald Trump,2022-03-02,
a,Donald Trump,2022-03-03,
a,Donald Trump,2022-03-04,
a,Donald Trump,2022-03-05,
a,Donald Trump,2022-03-06,
a,Donald Trump,2022-03-07,
a,Donald Trump,2022-03-08,
a,Donald Trump,2022-03-09,
a,Donald Trump,2022-03-10,
a,Donald Trump,2022-03-11,
a,Donald Trump,2022-03-12,
a,Donald Trump,2022-03-13,
a,Donald Trump,2022-03-14,37.0
a,Donald Trump,2022-03-15,
a,Donald Trump,2022-03-16,
a,Donald Trump,2022-03-17,
a,Donald Trump,2022-03-18,
a,Donald Trump,2022-03-19,
a,Donald Trump,2022-03-20,
a,Donald Trump,2022-03-21,
a,Donald Trump,2022-03-22,
a,Donald Trump,2022-03-23,
a,Donald Trump,2022-03-24,37.0
a,Donald Trump,2022-03-25,
a,Donald Trump,2022-03-26,
a,Donald Trump,2022-03-27,
a,Donald Trump,2022-03-28,
a,Donald Trump,2022-03-29,
a,Donald Trump,2022-03-30,
a,Donald Trump,2022-03-31,
a,Donald Trump,2022-04-01,
a,Donald Trump,2022-04-02,
a,Donald Trump,2022-04-03,
a,Donald Trump,2022-04-04,38.0
a,Donald Trump,2022-04-05,
a,Donald Trump,2022-04-06,
a,Donald Trump,2022-04-07,
a,Donald Trump,2022-04-08,
a,Donald Trump,2022-04-09,
a,Donald Trump,2022-04-10,
a,Donald Trump,2022-04-11,
a,Donald Trump,2022-04-12,
a,Donald Trump,2022-04-13,
a,Donald Trump,2022-04-14,
a,Donald Trump,2022-04-15,
a,Donald Trump,2022-04-16,
a,Donald Trump,2022-04-17,
a,Donald Trump,2022-04-18,
a,Donald Trump,2022-04-19,
a,Donald Trump,2022-04-20,
a,Donald Trump,2022-04-21,
a,Donald Trump,2022-04-22,38.0
a,Donald Trump,2022-04-23,
a,Donald Trump,2022-04-24,
a,Donald Trump,2022-04-25,
a,Donald Trump,2022-04-26,
a,Donald Trump,2022-04-27,
a,Donald Trump,2022-04-28,
a,Donald Trump,2022-04-29,
a,Donald Trump,2022-04-30,
a,Donald Trump,2022-05-01,
a,Donald Trump,2022-05-02,
a,Donald Trump,2022-05-03,
a,Donald Trump,2022-05-04,
a,Donald Trump,2022-05-05,
a,Donald Trump,2022-05-06,
a,Donald Trump,2022-05-07,
a,Donald Trump,2022-05-08,
a,Donald Trump,2022-05-09,
a,Donald Trump,2022-05-10,
a,Donald Trump,2022-05-11,
a,Donald Trump,2022-05-12,
a,Donald Trump,2022-05-13,
a,Donald Trump,2022-05-14,
a,Donald Trump,2022-05-15,
a,Donald Trump,2022-05-16,
a,Donald Trump,2022-05-17,
a,Donald Trump,2022-05-18,
a,Donald Trump,2022-05-19,
a,Donald Trump,2022-05-20,
a,Donald Trump,2022-05-21,
a,Donald Trump,2022-05-22,39.0
a,Donald Trump,2022-05-23,
a,Donald Trump,2022-05-24,
a,Donald Trump,2022-05-25,
a,Donald Trump,2022-05-26,
a,Donald Trump,2022-05-27,
a,Donald Trump,2022-05-28,
a,Donald Trump,2022-05-29,
a,Donald Trump,2022-05-30,
a,Donald Trump,2022-05-31,
a,Donald Trump,2022-06-01,
a,Donald Trump,2022-06-02,
a,Donald Trump,2022-06-03,
a,Donald Trump,2022-06-04,
a,Donald Trump,2022-06-05,
a,Donald Trump,2022-06-06,
a,Donald Trump,2022-06-07,
a,Donald Trump,2022-06-08,
a,Donald Trump,2022-06-09,
a,Donald Trump,2022-06-10,
a,Donald Trump,2022-06-11,
a,Donald Trump,2022-06-12,
a,Donald Trump,2022-06-13,42.0
a,Donald Trump,2022-06-14,
a,Donald Trump,2022-06-15,
a,Donald Trump,2022-06-16,
a,Donald Trump,2022-06-17,
a,Donald Trump,2022-06-18,
a,Donald Trump,2022-06-19,
a,Donald Trump,2022-06-20,
a,Donald Trump,2022-06-21,
a,Donald Trump,2022-06-22,
a,Donald Trump,2022-06-23,
a,Donald Trump,2022-06-24,
a,Donald Trump,2022-06-25,
a,Donald Trump,2022-06-26,
a,Donald Trump,2022-06-27,40.0
a,Donald Trump,2022-06-28,
a,Donald Trump,2022-06-29,
a,Donald Trump,2022-06-30,
a,Donald Trump,2022-07-01,
a,Donald Trump,2022-07-02,
a,Donald Trump,2022-07-03,
a,Donald Trump,2022-07-04,
a,Donald Trump,2022-07-05,
a,Donald Trump,2022-07-06,
a,Donald Trump,2022-07-07,
a,Donald Trump,2022-07-08,
a,Donald Trump,2022-07-09,
a,Donald Trump,2022-07-10,
a,Donald Trump,2022-07-11,40.0
a,Donald Trump,2022-07-12,
a,Donald Trump,2022-07-13,
a,Donald Trump,2022-07-14,
a,Donald Trump,2022-07-15,
a,Donald Trump,2022-07-16,53.0
a,Donald Trump,2022-07-17,
a,Donald Trump,2022-07-18,
a,Donald Trump,2022-07-19,
a,Donald Trump,2022-07-20,
a,Donald Trump,2022-07-21,
a,Donald Trump,2022-07-22,
a,Donald Trump,2022-07-23,
a,Donald Trump,2022-07-24,
a,Donald Trump,2022-07-25,
a,Donald Trump,2022-07-26,
a,Donald Trump,2022-07-27,
a,Donald Trump,2022-07-28,
a,Donald Trump,2022-07-29,
a,Donald Trump,2022-07-30,
a,Donald Trump,2022-07-31,
a,Donald Trump,2022-08-01,40.0
a,Donald Trump,2022-08-02,
a,Donald Trump,2022-08-03,
a,Donald Trump,2022-08-04,
a,Donald Trump,2022-08-05,
a,Donald Trump,2022-08-06,
a,Donald Trump,2022-08-07,
a,Donald Trump,2022-08-08,38.0
a,Donald Trump,2022-08-09,
a,Donald Trump,2022-08-10,
a,Donald Trump,2022-08-11,
a,Donald Trump,2022-08-12,
a,Donald Trump,2022-08-13,
a,Donald Trump,2022-08-14,
a,Donald Trump,2022-08-15,
a,Donald Trump,2022-08-16,
a,Donald Trump,2022-08-17,
a,Donald Trump,2022-08-18,
a,Donald Trump,2022-08-19,
a,Donald Trump,2022-08-20,
a,Donald Trump,2022-08-21,
a,Donald Trump,2022-08-22,32.75
a,Donald Trump,2022-08-23,
a,Donald Trump,2022-08-24,
a,Donald Trump,2022-08-25,
a,Donald Trump,2022-08-26,
a,Donald Trump,2022-08-27,
a,Donald Trump,2022-08-28,
a,Donald Trump,2022-08-29,
a,Donald Trump,2022-08-30,
a,Donald Trump,2022-08-31,
a,Donald Trump,2022-09-01,
a,Donald Trump,2022-09-02,
a,Donald Trump,2022-09-03,
a,Donald Trump,2022-09-04,
a,Donald Trump,2022-09-05,48.0
a,Donald Trump,2022-09-06,40.0
a,Donald Trump,2022-09-07,
a,Donald Trump,2022-09-08,
a,Donald Trump,2022-09-09,
a,Donald Trump,2022-09-10,
a,Donald Trump,2022-09-11,
a,Donald Trump,2022-09-12,
a,Donald Trump,2022-09-13,
a,Donald Trump,2022-09-14,36.0
a,Donald Trump,2022-09-15,
a,Donald Trump,2022-09-16,
a,Donald Trump,2022-09-17,
a,Donald Trump,2022-09-18,
a,Donald Trump,2022-09-19,49.0
a,Donald Trump,2022-09-20,
a,Donald Trump,2022-09-21,46.0
a,Donald Trump,2022-09-22,
a,Donald Trump,2022-09-23,
a,Donald Trump,2022-09-24,
a,Donald Trump,2022-09-25,
a,Donald Trump,2022-09-26,
a,Donald Trump,2022-09-27,40.0
a,Donald Trump,2022-09-28,
a,Donald Trump,2022-09-29,
a,Donald Trump,2022-09-30,
a,Donald Trump,2022-10-01,
a,Donald Trump,2022-10-02,
a,Donald Trump,2022-10-03,
a,Donald Trump,2022-10-04,
a,Donald Trump,2022-10-05,
a,Donald Trump,2022-10-06,
a,Donald Trump,2022-10-07,
a,Donald Trump,2022-10-08,
a,Donald Trump,2022-10-09,
a,Donald Trump,2022-10-10,
a,Donald Trump,2022-10-11,
a,Donald Trump,2022-10-12,
a,Donald Trump,2022-10-13,
a,Donald Trump,2022-10-14,
a,Donald Trump,2022-10-15,
